*the_geom:MultiLineString,Length:String
"MULTILINESTRING ((115.77286416664799 39.605823237180246, 115.77396474257885 39.60500320925828, 115.77417484938987 39.60486320190286, 115.77493524776355 39.60430318237356))",0.245
"MULTILINESTRING ((115.8356789472257 39.59716568867312, 115.83578911957227 39.59743575508358, 115.83602962436771 39.597596056540326, 115.8363503100188 39.59776647447077, 115.83666094574608 39.5980268452902, 115.83712198139438 39.59810750548454, 115.837623096229 39.59822821159024, 115.83780348404366 39.598318449564346, 115.83807406936285 39.598438811229734, 115.83829453366582 39.598579090180436, 115.83858514778638 39.598759460008615, 115.83868530528265 39.598999523236984))",0.346
"MULTILINESTRING ((115.76153817134959 39.61533341853012, 115.7612080536088 39.61527345713201, 115.76089795207882 39.61516349972342, 115.76080794073391 39.615023522045554, 115.76072793974267 39.61483354925657, 115.76088802895949 39.614663550410185, 115.76111815467914 39.61443355059557, 115.76121822044456 39.61426355714509, 115.7612082487617 39.61406357849901, 115.76111823381952 39.61394359904553, 115.76086815124428 39.61385363356596, 115.76067809301968 39.61376366089191, 115.76039800996021 39.613603704774796, 115.76010793633223 39.61336375845833, 115.7600379411981 39.61316378520816, 115.76001798164464 39.61286381723904, 115.75992804494342 39.61225388713485, 115.75985805070854 39.612043915222166, 115.75962800143122 39.61179396304857, 115.75923789621197 39.61150403061418))",0.550
"MULTILINESTRING ((115.78911127646427 39.602051990434575, 115.78844098566299 39.60218204499295))",0.059
"MULTILINESTRING ((115.83375520833624 39.59489364235527, 115.83397569961892 39.59494395312846, 115.83417612432879 39.59506420867383, 115.83443663903972 39.595344495879324, 115.83486749703742 39.59578497842154, 115.83525829923121 39.59610544553745, 115.83535850529087 39.596185566138516))",0.202
"MULTILINESTRING ((115.77100320313535 39.60717328774464, 115.77096318330429 39.607193289566254, 115.77093316663242 39.60722329005043, 115.77087313508719 39.60727329145683, 115.77059298547795 39.60750329576812, 115.77053295483209 39.607543297612686, 115.77045291876722 39.607573302593465, 115.7703728836018 39.60759330891168, 115.77032286420886 39.60759331430759, 115.77026284255622 39.60758332104106, 115.77018281638392 39.6075533322481))",0.090
"MULTILINESTRING ((115.79124246826541 39.60025195778921, 115.79064234167082 39.599772130806784))",0.074
"MULTILINESTRING ((115.77424431842063 39.608072874191386, 115.77412430749085 39.60786290767468, 115.77392428477798 39.607542959467615, 115.77379427068911 39.60733299295085, 115.77359424707684 39.607013044743816, 115.77346423298798 39.60680307912642, 115.77331421707754 39.60655311885894))",0.187
"MULTILINESTRING ((115.82474154808403 39.608117257533, 115.82666616471181 39.6070802573756, 115.82690674055368 39.60696063135569, 115.82712725881593 39.60690096853247, 115.82769860080985 39.60675183935351, 115.82798928597686 39.606662284864136, 115.82850050199659 39.60644307511544))",0.374
"MULTILINESTRING ((115.77331421707754 39.60655311885894, 115.77326420937584 39.606483130919365, 115.77313419618623 39.606263165740096, 115.77309419254298 39.60619317690119))",0.044
"MULTILINESTRING ((115.79360332353461 39.60070167636882, 115.7926329577449 39.60059178461073, 115.79246289414732 39.60057180347352))",0.099
"MULTILINESTRING ((115.77051290444707 39.6077932749673, 115.77063297563144 39.60765327660502, 115.7707630472769 39.607533276467144, 115.77103319192837 39.60730327215591, 115.77112325003804 39.60717327605342))",0.087
"MULTILINESTRING ((115.79468333826549 39.60285135553323, 115.79467334140168 39.60281135998383, 115.79461335482257 39.602621385396226, 115.79461336831243 39.60255139206066))",0.034
"MULTILINESTRING ((115.79978173793687 39.621219046949136, 115.79954153171639 39.62173900887587, 115.79947148262283 39.62183900449418, 115.79940144432125 39.621889005001265, 115.79929138978582 39.62193900820637, 115.79913131405895 39.6219990154699, 115.7989912536435 39.62202902494727))",0.121
"MULTILINESTRING ((115.79064234167082 39.599772130806784, 115.7905923132847 39.59980212409634, 115.79008206583478 39.599952115725145))",0.052
"MULTILINESTRING ((115.79345292900949 39.6024315187272, 115.79352301947188 39.602111543540495))",0.036
"MULTILINESTRING ((115.77018281638392 39.6075533322481, 115.77008278389337 39.607513345691956, 115.7699527392276 39.607473362733096, 115.76951259033387 39.60733342102819, 115.76938254296999 39.60731343629365))",0.074
"MULTILINESTRING ((115.77286416664799 39.605823237180246, 115.77276415304334 39.60567326173926))",0.019
"MULTILINESTRING ((115.8375519202849 39.60297705737286, 115.83764213397738 39.602937197621145, 115.83776241740166 39.60289738283552, 115.83793281734575 39.60284764403116, 115.83853422997085 39.60266856832737))",0.091
"MULTILINESTRING ((115.78783475986633 39.63406891917307, 115.78780474139582 39.63410891831969, 115.78779472474685 39.634178912554574, 115.78783470860502 39.6343388929533, 115.78792470016482 39.63455886172986, 115.78800469036425 39.63476883274321, 115.78800459773403 39.63525878339394, 115.78799457389051 39.63536877407742, 115.78798455904018 39.63542876875047, 115.78794453291391 39.63548876702074, 115.78788449417414 39.63557876397656))",0.173
"MULTILINESTRING ((115.83401361953293 39.60394163602525, 115.8341138786526 39.60377180894944, 115.8341539974091 39.60361189060387, 115.83419411976286 39.603431974033995, 115.83424426146358 39.603272070976864, 115.83443474236957 39.603012390836746, 115.83463524801833 39.60274272642329, 115.83472547070393 39.60265287335898, 115.83486579641941 39.60263308647534, 115.83505624674841 39.602563380922895, 115.83520660889792 39.60246361912828, 115.83533691976311 39.60239382364363, 115.83551734804723 39.60231410414019, 115.83582807910263 39.60221458246456, 115.83617889563959 39.60215511569362, 115.83652970408264 39.60214564133588, 115.8368003325694 39.60210605228008, 115.83718122153618 39.60202663315016, 115.83747191659575 39.60186708982189, 115.83767240335874 39.60170741159533))",0.438
"MULTILINESTRING ((115.83792235103579 39.60557725281554, 115.83792235823034 39.60553725816552, 115.83791238205083 39.605247283462994, 115.83790236540189 39.60520727352447, 115.83789235055156 39.605157265822776, 115.83788233390261 39.60511725588426, 115.83786230689998 39.604997243155836, 115.83787234333408 39.60491726914428, 115.83788238606337 39.604797300482645, 115.83793253226064 39.604607401437995, 115.83798266316944 39.604507490355964, 115.83810297447282 39.604297699207066, 115.83814308243734 39.60419777283655, 115.8381531143748 39.604147794812505, 115.8381431022225 39.604077788886464, 115.83812306442792 39.604027765896284, 115.83808298164433 39.603967714565954, 115.83807296319674 39.60393770328996, 115.83805292899956 39.603867682974794, 115.83805294338867 39.60377769591151, 115.83810309228397 39.60356779954191, 115.8381833127098 39.603347950375166, 115.83826352144446 39.603198090946705, 115.8383838174593 39.603078286861034, 115.83845399515575 39.60297840545662, 115.83850412336665 39.60289849169959, 115.83851415620337 39.60283851501305, 115.8385342218769 39.6027185616399, 115.83853422997085 39.60266856832737))",0.338
"MULTILINESTRING ((115.75859677761923 39.61699354634275, 115.75851673885643 39.61704354954785, 115.75840669061631 39.61708355678841, 115.75798650936999 39.617213585266406, 115.75792648052277 39.617253587111044, 115.75783642511102 39.61738358321347, 115.75781641159814 39.617423581460784, 115.75780639944584 39.61747357747132, 115.7578263949722 39.6175535676707, 115.75786639411888 39.61765355339643, 115.75789639010632 39.61775354002155))",0.124
"MULTILINESTRING ((115.79146229944558 39.60159180194768, 115.7914622958483 39.60161179927268, 115.79149229453378 39.60168178991029, 115.79180230073564 39.60229169753143, 115.79201231311777 39.60266163995032, 115.79215231507739 39.60294159800395, 115.79219231152604 39.60304158372969, 115.79219229983482 39.60310157840269, 115.79217225574507 39.60329156108424, 115.79218224451506 39.603371552182985, 115.7922222391651 39.60348153657123, 115.79228221315371 39.60374150539373))",0.252
"MULTILINESTRING ((115.79350278472576 39.60328142932207, 115.79398296783972 39.60332137720736, 115.79432309503488 39.603361339481815, 115.79449315953171 39.60338132151839))",0.086
"MULTILINESTRING ((115.79449315953171 39.60338132151839, 115.79457320279118 39.603321319650775, 115.79462324826432 39.60319132714562, 115.79468329509804 39.60307133330298))",0.039
"MULTILINESTRING ((115.76977353132348 39.60239388839482, 115.76992357511301 39.602483864666226, 115.77076384047893 39.6028837401201))",0.101
"MULTILINESTRING ((115.76531980616414 39.614233150167394, 115.76553995840244 39.613823169031676, 115.76570009168597 39.61339319686619, 115.76585024789073 39.612803240704636, 115.76592031137329 39.61258325574028, 115.76600038341098 39.612333272090495))",0.220
"MULTILINESTRING ((115.79356286663302 39.60298145325902, 115.79379295368187 39.60300142810098, 115.79416309215311 39.603051386339985, 115.79441318372153 39.603091357607646, 115.79456324190016 39.603101341881036, 115.79468329509804 39.60307133330298))",0.098
"MULTILINESTRING ((115.78122827356607 39.601332850258416, 115.78116824741676 39.60134285521615, 115.78025783223325 39.60163291715298, 115.7796475666819 39.60176296451681, 115.7796275567664 39.60177296587727))",0.146
"MULTILINESTRING ((115.8291729448756 39.601204754423456, 115.82912282475866 39.60123467576726, 115.82906268259683 39.60125458316007, 115.82901256607717 39.60126450717882, 115.82892235508268 39.60128436960553, 115.82883214588686 39.60129423336974, 115.82873191554553 39.601294083182935, 115.8285915934274 39.601293872741614, 115.82847131809694 39.6012836942147, 115.82835104726303 39.60125351836273, 115.82827086640737 39.601233400528585, 115.828150591077 39.601223222001686, 115.82793008810312 39.60120289372617, 115.82754921262608 39.601202323555974, 115.82727859942794 39.601151925548486, 115.82707814504043 39.60111163052493, 115.82676743466948 39.60109116735105, 115.82631639948225 39.601080493297715, 115.82596559823378 39.60104997210612, 115.82480292951163 39.60102823369362))",0.379
"MULTILINESTRING ((115.79295300667593 39.60100171178715, 115.79291295986526 39.60116169938049, 115.79285288605195 39.60142167989419))",0.047
"MULTILINESTRING ((115.79453361103744 39.60114154107685, 115.79452362226742 39.601061549978105, 115.79439360548052 39.60088158034823, 115.79425356035358 39.60082160006435, 115.79378338039874 39.600781650380426))",0.086
"MULTILINESTRING ((115.76489251667635 39.59799541308539, 115.76515268424907 39.59775548295672))",0.035
"MULTILINESTRING ((115.83001411495944 39.6057054295895, 115.83020449064475 39.606075665187426, 115.83041491041979 39.606455930024744, 115.83060527801126 39.606876158935194))",0.140
"MULTILINESTRING ((115.8356789472257 39.59716568867312, 115.83522785448201 39.597354944702516, 115.83495719631765 39.59747449697798, 115.83474668930832 39.59755415262962, 115.83460634830442 39.59761392067347, 115.83439583859717 39.597703573188916, 115.83422542606263 39.59777329313053, 115.83409509900967 39.59786306525584, 115.83382443005348 39.59802260138949, 115.83361391045365 39.59814224269789, 115.83332320909894 39.598251767532616, 115.83296234443675 39.59837118401046, 115.83263155400313 39.598470651726736))",0.300
"MULTILINESTRING ((115.76786303045456 39.60085423286416, 115.76877327386752 39.60156407135241, 115.76891330460536 39.601714042296805))",0.131
"MULTILINESTRING ((115.77268453426393 39.60328350855468, 115.7718041897117 39.60325359980135, 115.77096391535245 39.602913717221846, 115.77076384047893 39.6028837401201))",0.174
"MULTILINESTRING ((115.77673618602626 39.60302312964132, 115.77669617698702 39.60298313768926))",0.006
"MULTILINESTRING ((115.83868530528265 39.598999523236984, 115.83903615959115 39.5988401067131, 115.8393869923159 39.59875066373971, 115.8398480639371 39.59871136876221, 115.8403492507174 39.59859216182637, 115.8407201239346 39.59852274225833, 115.84089052477793 39.59849300797348, 115.84205328523105 39.59819485483622))",0.304
"MULTILINESTRING ((115.83080598241021 39.60544664517417, 115.83109666667792 39.60535709158411, 115.83144749310736 39.60524762970195, 115.83304124465782 39.604760073945855, 115.8332918650276 39.60450048283862))",0.242
"MULTILINESTRING ((115.79358020466282 39.61678007247005, 115.79345008895052 39.617120052176325))",0.039
"MULTILINESTRING ((115.79449315953171 39.60338132151839, 115.79443309651026 39.60358130735903, 115.79435304695564 39.60367130611348, 115.79418297166683 39.60371131874996))",0.050
"MULTILINESTRING ((115.78268882383018 39.601502687226784, 115.78225866910236 39.60141273883441))",0.038
"MULTILINESTRING ((115.76439253768558 39.59715579882859, 115.76442251208935 39.59729573963424, 115.76450252387245 39.59737570015599, 115.76477259298088 39.597525612644496, 115.76503265713143 39.59767552693157, 115.76515268424907 39.59775548295672))",0.097
"MULTILINESTRING ((115.78706018637854 39.60352204833146, 115.78709020754707 39.603472050522285, 115.78716024315078 39.603432047778384, 115.78736032791689 39.60340203110644, 115.78762043073834 39.603402005026105, 115.78798058313747 39.603351973942054, 115.78807062775729 39.603301969837624, 115.7881706791336 39.60324196527204, 115.78823072147065 39.603141969653734, 115.78829077729756 39.60297198069992, 115.78844098566299 39.60218204499295))",0.225
"MULTILINESTRING ((115.89083357421009 39.57081631984469, 115.89093377757182 39.570906439108256, 115.89103397104101 39.57102654896344, 115.89116421625567 39.57120668496791, 115.89128442053959 39.57144678776642, 115.89135453978021 39.57158684728254, 115.89146473281117 39.57178694823645, 115.89160497129252 39.57206706816803))",0.155
"MULTILINESTRING ((115.88856737888149 39.57411196462288, 115.88855738651422 39.57401198069578))",0.011
"MULTILINESTRING ((115.89141458481527 39.571896839994544, 115.89136449707395 39.571806794475364, 115.89126432338992 39.571616705673804, 115.89113410515493 39.57134659789458, 115.89107400076455 39.57123654335916, 115.89099384958661 39.57112645914615, 115.89077342035716 39.57086621603047))",0.127
"MULTILINESTRING ((115.85509382182248 39.56291652660376, 115.85511385332175 39.562966538802065))",0.006
"MULTILINESTRING ((115.85894592391539 39.58543448494101, 115.85775329248054 39.585072838768))",0.109
"MULTILINESTRING ((115.86407998979972 39.57786464396557, 115.86438067722656 39.57787508419519, 115.86461120044657 39.57789541786669, 115.86502214475625 39.577896024909045, 115.86537295409858 39.57788654605471, 115.86577387816203 39.57787714094475, 115.86597433794543 39.57787743682168))",0.162
"MULTILINESTRING ((115.87881587615186 39.571098571169536, 115.87898627069988 39.57108882431718))",0.015
"MULTILINESTRING ((115.87952185654855 39.589923582235, 115.87893048845137 39.58995269239032, 115.87829897192012 39.59017168270451, 115.8777275669737 39.59048073202767, 115.8775370869671 39.59062040393602, 115.87747690973163 39.59075027233472, 115.87761711853524 39.591130358206996, 115.87773731022878 39.59141044756164, 115.87774730979062 39.59149043686169, 115.87760680690872 39.5920900346549))",0.361
"MULTILINESTRING ((115.861684489048 39.577851111866735, 115.86174501791832 39.57655164007356, 115.86174512583693 39.57619176196768))",0.185
"MULTILINESTRING ((115.89743475810769 39.58405200572299, 115.89741473650099 39.58397200023507, 115.8973346824497 39.58354201278115))",0.057
"MULTILINESTRING ((115.87898627069988 39.57108882431718, 115.879537543423 39.571069640878626, 115.88063007042149 39.571011264985295, 115.88170254973295 39.57096285627816, 115.88248436366258 39.57090402352927))",0.300
"MULTILINESTRING ((115.886211934833 39.57421846233956, 115.88712405423178 39.57413983011645))",0.078
"MULTILINESTRING ((115.86565113599126 39.58608421903893, 115.86273400596963 39.58750940796031, 115.86240319844887 39.58766886225569, 115.86212251194446 39.58780839836637))",0.358
"MULTILINESTRING ((115.85980356598179 39.56651218791451, 115.86034480317016 39.566532973944966, 115.86080585320758 39.56656363902807))",0.086
"MULTILINESTRING ((115.89756485133694 39.58473199211524, 115.89776503053179 39.5856620062241, 115.89783507602796 39.58604199496956, 115.89792518629838 39.58636203131018))",0.184
"MULTILINESTRING ((115.90180063029493 39.57232587776444, 115.90183058311493 39.572295831414905, 115.90184057368356 39.57226582283685, 115.90185056695022 39.57222581649561, 115.9018505759434 39.5721958250047, 115.90183063077906 39.57213587889509, 115.90168103215397 39.571716277711445, 115.90150153376885 39.57114677483119, 115.90138188076924 39.57072711878889, 115.90123228933872 39.57028752387752, 115.9010627734283 39.56971800301082, 115.90099296895038 39.56949819701155))",0.325
"MULTILINESTRING ((115.84677642838949 39.55718639276512, 115.84533319637 39.55690439145178))",0.127
"MULTILINESTRING ((115.90638220037829 39.57210757633099, 115.90660175366804 39.5722471340254))",0.024
"MULTILINESTRING ((115.8588064966226 39.58245529360437, 115.85804468361529 39.58266409459974, 115.85741318507051 39.582823104630044, 115.85641083759013 39.582971568310704))",0.213
"MULTILINESTRING ((115.87015189479415 39.58469135984588, 115.87015211153074 39.5839715973388))",0.080
"MULTILINESTRING ((115.8826436362948 39.57455310097225, 115.88306461523985 39.57451373404899, 115.88420727314724 39.57440545117806, 115.88493897505371 39.57433655051881, 115.88556042367463 39.57426748798161, 115.886211934833 39.57421846233956))",0.307
"MULTILINESTRING ((115.87029483933544 39.57596444573, 115.87026455106822 39.576694160134835, 115.87025434736029 39.577293947684964, 115.87026425609065 39.57767383750504, 115.87026423270822 39.577753810617274))",0.199
"MULTILINESTRING ((115.85456799451742 39.57833043972548, 115.85489879034697 39.578210969288214, 115.85498900943526 39.5781711167311, 115.85506920557941 39.57813124888544, 115.85525968828404 39.57798158191192, 115.85549031042956 39.57767202806908))",0.111
"MULTILINESTRING ((115.87025408925489 39.57815366448746, 115.87025414591223 39.57796372677202))",0.021
"MULTILINESTRING ((115.85135554602164 39.56187142715195, 115.85187670404673 39.56200214271203, 115.85291901470079 39.56228356755995))",0.141
"MULTILINESTRING ((115.89960678092824 39.59377226600481, 115.89964677647765 39.59408222993847, 115.89972689348144 39.59427228456583))",0.057
"MULTILINESTRING ((115.8697969215907 39.56519726217129, 115.86960649014748 39.56517699055303, 115.86935593003216 39.565126640209655, 115.86911539196181 39.56507630515471, 115.86903521380418 39.56505619451513))",0.067
"MULTILINESTRING ((115.87045571186174 39.574285235202865, 115.87045568488203 39.574375206078294))",0.010
"MULTILINESTRING ((115.89845579080213 39.5883922022658, 115.89823526264729 39.58847185252146, 115.8980247547387 39.58856151492946, 115.89789443038376 39.58865129514865, 115.89779417396198 39.58874111943462, 115.8977741037919 39.58882106646652, 115.89778410335373 39.58890105666595, 115.89787427297938 39.58902115393059, 115.89800452628786 39.58917130114216, 115.89808469455306 39.58922140417199, 115.89823501983038 39.58928160838705))",0.146
"MULTILINESTRING ((115.90202824600681 39.578963486003516, 115.90152957912687 39.57756481089474, 115.90141986993115 39.577265099232385))",0.196
"MULTILINESTRING ((115.87043651223529 39.57146613488162, 115.87038604947668 39.57262567935901, 115.87034545857615 39.574285073324866))",0.313
"MULTILINESTRING ((115.88343071125837 39.55697981759182, 115.88348044196893 39.55825948541425))",0.142
"MULTILINESTRING ((115.87550459036459 39.58336972695878, 115.8754143829675 39.58336959385911))",0.008
"MULTILINESTRING ((115.88712405423178 39.57413983011645, 115.88709413558593 39.57363994285651, 115.88710417921457 39.57356997919857, 115.88712424039149 39.573520024556885, 115.88718439424451 39.57347012837112, 115.88800649510368 39.572761559725606, 115.88824710152255 39.57258196960963))",0.211
"MULTILINESTRING ((115.87015211153074 39.5839715973388, 115.86997169673646 39.58397132934084))",0.015
"MULTILINESTRING ((115.87027308743315 39.58164254299639, 115.87027305146023 39.58176250356416, 115.87027288868295 39.5823023261189))",0.073
"MULTILINESTRING ((115.88712405423178 39.57413983011645, 115.88855738651422 39.57401198069578))",0.123
"MULTILINESTRING ((115.8469157918304 39.59374370263732, 115.84651484078734 39.59384306873017))",0.036
"MULTILINESTRING ((115.87293840997971 39.58431561500112, 115.87294852915137 39.58399573514254))",0.036
"MULTILINESTRING ((115.87372030215032 39.58399687818087, 115.87361004886473 39.58399671540354))",0.009
"MULTILINESTRING ((115.87986957941759 39.56682148724918, 115.87971921546942 39.56688124719916, 115.87966908815794 39.566921161809546, 115.8796390040369 39.56697110116273, 115.87961894016199 39.56703105266831, 115.87964897661904 39.567141061338255))",0.046
"MULTILINESTRING ((115.8994607589069 39.57940636703764, 115.90202824600681 39.578963486003516))",0.225
"MULTILINESTRING ((115.85691793471494 39.56317910256085, 115.85686749174145 39.56426865550139))",0.121
"MULTILINESTRING ((115.8784084814663 39.55928176816641, 115.87789728343296 39.55936099753934, 115.87772689158281 39.55936074932643, 115.87767677955982 39.55935067871816, 115.87763669048093 39.55934062429766, 115.87760662164828 39.559340580230895, 115.87757654921849 39.55935053302797, 115.87755650063208 39.559360500214225, 115.87755648804158 39.559400487669706, 115.87765640002296 39.560460291936266, 115.87774641856242 39.56109022026479, 115.87778640871589 39.56143016939414))",0.305
"MULTILINESTRING ((115.85715088340656 39.58849077515666, 115.85747174082825 39.58809138893397, 115.85758203278465 39.587961596977635, 115.85767228244993 39.587821779379134, 115.85783275567724 39.58747213735674, 115.85802333730724 39.58699258376824, 115.85818378715216 39.586722914858136, 115.85823392345685 39.58665301235415, 115.85832418751136 39.58646321133565, 115.85837432651397 39.586383313766376, 115.85846458517254 39.586213505576296, 115.85867515513439 39.58592391668289, 115.8587754367371 39.585754123781285, 115.85894592391539 39.58543448494101))",0.375
"MULTILINESTRING ((115.89809023437692 39.57077697450515, 115.89812049206716 39.570147208953905, 115.89813059055437 39.569897299048506, 115.89815081001188 39.5693175034274, 115.89815087925979 39.569087572860575, 115.89811086302598 39.56883758921073, 115.89806079596906 39.56867756474516, 115.89777031494818 39.568067325274185, 115.89771022314835 39.56791728328337, 115.89768017500012 39.56784726027019))",0.332
"MULTILINESTRING ((115.84654562817819 39.558085739092874, 115.84642526831158 39.55836546512144, 115.84620441909874 39.559504740678584, 115.84615425581433 39.559664611360034))",0.179
"MULTILINESTRING ((115.88723140720377 39.58379697148052, 115.88721146563672 39.58344705156765, 115.88720156589964 39.583037164860734, 115.88719170213538 39.58250731578743, 115.8871917560947 39.582327372237884))",0.163
"MULTILINESTRING ((115.87331481132956 39.56584220108408, 115.87310434029314 39.56580190606048, 115.87260321916325 39.56570120537367))",0.063
"MULTILINESTRING ((115.89972704366824 39.593772434178, 115.89960678092824 39.59377226600481))",0.010
"MULTILINESTRING ((115.90628007426606 39.580175395305716, 115.90667892898945 39.58161424852617))",0.164
"MULTILINESTRING ((115.86174512583693 39.57619176196768, 115.86169501111588 39.57619168822323, 115.86159478706986 39.57617154700672, 115.86125401865809 39.57612106176498, 115.86045220110827 39.57603990694355, 115.86019161085426 39.576009533240786))",0.134
"MULTILINESTRING ((115.87944220089696 39.588164027175615, 115.87941205652123 39.58841390200749))",0.028
"MULTILINESTRING ((115.87493292641352 39.58453850027906, 115.8749329506952 39.584458526267454))",0.009
"MULTILINESTRING ((115.86814774032598 39.5831888849865, 115.86889946743656 39.58318999834722))",0.064
"MULTILINESTRING ((115.88624104948487 39.57739750911516, 115.8862311164729 39.577097588810105, 115.88622120414526 39.57672768955868, 115.8862114339106 39.575887938604936, 115.88620163849485 39.57512816256208, 115.8862117909415 39.57469831180503, 115.88621192314179 39.57425844979502))",0.349
"MULTILINESTRING ((115.87438182815889 39.58397786561346, 115.87443194647723 39.58396794339337, 115.87449209043768 39.583948038698516, 115.87457228658185 39.58390817085285, 115.87458232121719 39.58386819868586, 115.87458235719009 39.583748237218856, 115.87457234953433 39.58369823851035))",0.042
"MULTILINESTRING ((115.87941205652123 39.58841390200749, 115.87941204483003 39.588453889462954, 115.87944196977116 39.58893378029719, 115.87952185654855 39.589923582235))",0.168
"MULTILINESTRING ((115.8531498589789 39.59460270807603, 115.85285923316712 39.59446232210599, 115.85202746909249 39.59397125179936, 115.85127587418229 39.593530283623245))",0.200
"MULTILINESTRING ((115.87159310243977 39.59171119434363, 115.87156302461392 39.59174113996914, 115.87152292384394 39.59177107030614, 115.87142268720733 39.59179091384714, 115.87135253199382 39.591770816697355, 115.87117213878322 39.59170057065233, 115.87105188053987 39.59164041140336, 115.87100177751006 39.591600349304194, 115.87098174601078 39.591550336206566, 115.87097174105304 39.59149034063425, 115.87097178332124 39.59135038723808, 115.8709617747661 39.59130038852963, 115.87092169827783 39.591250345754354, 115.87086157230372 39.591210269266, 115.87080144003447 39.591190185606074, 115.87073128751899 39.59116009159248, 115.87067116154492 39.591120015104124, 115.87062106121311 39.5910699570404, 115.87054091003505 39.5909598737267, 115.87051090145701 39.590759895080616, 115.87048090457016 39.59051992897905, 115.87048093154976 39.59042995900288, 115.87047093198792 39.59034996970284, 115.8704208595351 39.590209941662955, 115.87035071331478 39.590159853921634, 115.87027054055307 39.590119747755665, 115.87018033945118 39.59009962002895, 115.8700700861656 39.59009945545299, 115.86995983018211 39.59010928864027, 115.86985959354547 39.59012913308053, 115.86969921025036 39.59017887728088, 115.86958894167641 39.590228697024244, 115.86952878872273 39.59027859051206, 115.86947865601519 39.59033849615217, 115.86945858224782 39.59042843735005, 115.86945855526811 39.59051840732614, 115.86947855079451 39.59068838099152, 115.86950857735904 39.590828379353745, 115.86950855667466 39.59089835650149, 115.86952858187863 39.59096836332684, 115.86957867231797 39.59104841108284))",0.405
"MULTILINESTRING ((115.85894592391539 39.58543448494101, 115.85899607820647 39.58530460395179, 115.85905627702563 39.58510476110332, 115.85907637057814 39.584944845455716, 115.85907640655103 39.58482488668665, 115.85908645107895 39.584754924827386, 115.85908652302466 39.58451500728921, 115.85904651488477 39.58423504294035, 115.85905662776122 39.58393516040678, 115.85904665607836 39.583765202929214, 115.85907679146078 39.5835453231856, 115.8590768544134 39.58333539444038, 115.85911704871285 39.58299556941744, 115.85913714586265 39.58282565690603, 115.85907703697569 39.582725601932445))",0.304
"MULTILINESTRING ((115.8776439659963 39.56848768908295, 115.8772530675751 39.568487116214804, 115.87693233066263 39.56848664586938, 115.87686217275109 39.568476545583465, 115.87676194240976 39.56847639899401, 115.87671182139356 39.56849631897731, 115.87671177912536 39.56863627327278, 115.87672176969399 39.56874625316444, 115.87673174767211 39.56889621871292, 115.87673169910863 39.5690561676354, 115.87674170136847 39.56912615917227, 115.8767717585099 39.56916619069451, 115.8768318871819 39.56919626941967, 115.87690204239537 39.56921636567014, 115.8771325692128 39.569226700679074))",0.188
"MULTILINESTRING ((115.87880757091273 39.565380392918144, 115.87880755922151 39.56542038037362, 115.87880746299415 39.565740277319314, 115.87878734156264 39.56599016833894, 115.87877717472692 39.56646999891866))",0.121
"MULTILINESTRING ((115.85057636800502 39.55315333178809, 115.85283225170713 39.550817417417164))",0.324
"MULTILINESTRING ((115.88840590830613 39.577780585233285, 115.88847606981483 39.577780688655274, 115.88920776902343 39.57772178755785, 115.89048072340677 39.57762369670368))",0.178
"MULTILINESTRING ((115.86814781586907 39.582938967886534, 115.86814777899689 39.58305892845424))",0.013
"MULTILINESTRING ((115.85245194999756 39.58227594540602, 115.85291321587228 39.58158686686788, 115.85292324780971 39.58155689246409, 115.85293328604233 39.58150692433257))",0.095
"MULTILINESTRING ((115.89875619224449 39.58933236072736, 115.89878623319817 39.58942237746827))",0.010
"MULTILINESTRING ((115.8640725218295 39.5693574872856, 115.86409240583986 39.56989733592067, 115.86410219496042 39.570677088604135, 115.86413203536517 39.57143687723747, 115.8642019621509 39.572216718953804, 115.8642217859068 39.572956499470294))",0.400
"MULTILINESTRING ((115.86502470062955 39.56938887452432, 115.86502465836135 39.569528827920436, 115.86502461969053 39.56965878445275, 115.86504456665351 39.56998870344327, 115.8650544268204 39.57052853678991, 115.86507428385117 39.57115835540113))",0.197
"MULTILINESTRING ((115.89706424371991 39.58294179625437, 115.89715433870185 39.583311816914254, 115.89721440082405 39.58356182934244))",0.070
"MULTILINESTRING ((115.84280979853337 39.5822616722658, 115.84275962355785 39.58246152590617, 115.84260912201341 39.58298111821147, 115.84249876980242 39.583310836653254, 115.8424686587017 39.58345074238532, 115.84241849901457 39.583600614404304, 115.84236832044166 39.58381046490848, 115.84231815086208 39.583990326619755, 115.84224792100484 39.58422014027474, 115.84220777167138 39.58441001233968, 115.842097401474 39.58479970926664, 115.84199706051595 39.585169428653685, 115.841956898592 39.58539928637545, 115.8419368140328 39.58552921053213, 115.84184652569662 39.58579898016627, 115.84178633047486 39.585988822553595, 115.84148539303648 39.58680808245454))",0.519
"MULTILINESTRING ((115.88248436366258 39.57090402352927, 115.8825142706172 39.571443896446034, 115.88254401209656 39.57253359507678, 115.88257375087801 39.573633289671974, 115.88260370909393 39.574003216802446))",0.345
"MULTILINESTRING ((115.88064344513894 39.55985484315383, 115.8806233327007 39.56007474358185, 115.8805330083917 39.560464488172926, 115.88041259726369 39.56091416898104, 115.88038251584055 39.56095411147041, 115.88036246095885 39.56098407328366, 115.88029229405424 39.56100396448872, 115.88019206371281 39.5610038178992, 115.87945036314386 39.56099273915092, 115.87914965413324 39.56105228146495, 115.87867853528621 39.56117155495062))",0.276
